X Y
484676.1 4461292.3
484546.8 4460805.3
484635.8 4460109.6
484136.0 4458736.5
484141.3 4458334.0
484378.1 4457726.5
483894.4 4456987.7
483221.6 4456375.4
483407.4 4456106.3
483462.0 4455305.6
483382.7 4455259.5
484420.4 4454788.8
484824.3 4453993.8
485249.5 4453762.6
485500.8 4454819.3
486270.2 4456105.2
486759.8 4456562.7
486937.8 4457034.6
487206.1 4457209.6
487802.9 4457331.8
489098.5 4458705.7
490405.4 4459450.8
490691.5 4459416.6
490841.5 4458873.6
491294.5 4458677.6
491647.5 4458293.6
491847.5 4457602.6
491576.5 4456673.6
492175.4 4455611.6
492564.7 4455204.1
492607.0 4454983.9
492347.3 4454254.2
492601.0 4453707.6
493201.6 4453040.1
493150.5 4452068.8
492976.4 4451561.1
493238.8 4450907.6
493066.0 4450399.3
492490.7 4449994.7
492796.2 4449778.8
492620.2 4449110.4
492815.5 4448703.3
492699.4 4448421.4
492923.9 4448174.8
493433.0 4446907.4
493379.1 4446203.3
493999.2 4445725.6
494216.8 4445259.7
493894.1 4445073.0
493356.1 4445198.2
492928.0 4445453.7
492975.2 4445713.8
492746.9 4445923.2
492397.5 4445849.4
491691.0 4444845.1
491711.1 4444675.9
492062.8 4444466.8
491783.3 4444120.4
491758.1 4443565.7
491959.3 4443602.1
492081.1 4443170.3
492090.3 4443346.3
492317.5 4443478.4
492496.5 4443277.3
492341.7 4443247.8
492463.9 4443137.6
492743.5 4443172.3
492977.4 4442759.6
493425.3 4442806.1
493412.0 4442481.2
493835.8 4442310.6
493660.6 4442036.0
493758.6 4441833.0
493908.3 4441822.7
493785.8 4441694.5
494001.7 4441378.0
494467.0 4441297.9
494412.4 4441114.4
494207.5 4441039.5
494241.1 4440914.6
494394.9 4440898.5
494495.3 4440623.6
494727.3 4440557.4
494761.1 4440335.6
495211.3 4440383.3
495224.9 4440211.4
495077.2 4440129.2
495437.8 4439579.0
495384.5 4439438.0
495218.8 4439493.2
495180.4 4439400.5
495484.0 4438789.8
494825.0 4437810.8
493807.9 4436986.9
492349.5 4435544.3
490426.1 4434919.0
489920.4 4434581.9
487982.8 4434781.9
487241.4 4435095.8
486515.4 4434925.8
486238.0 4434970.0
486251.1 4435448.0
486109.9 4435633.9
486218.3 4436066.1
486089.2 4437060.8
485673.4 4437220.3
485818.7 4437873.0
485457.5 4437833.3
484830.7 4438009.1
484611.3 4437803.0
484566.4 4437563.4
484963.5 4437408.1
484648.0 4437131.0
484344.4 4437265.6
484149.9 4436841.5
483919.0 4436930.9
483869.7 4436362.2
482979.3 4435288.6
482308.3 4434862.2
482508.0 4434664.0
482888.9 4434651.0
482861.6 4434490.0
482540.6 4434443.3
482176.4 4434748.4
480468.7 4434002.8
479220.6 4433714.6
479050.2 4434385.6
479035.1 4434117.3
478819.6 4434136.0
478730.6 4433993.8
478308.1 4434224.9
478035.7 4433831.2
478018.6 4433382.3
477638.3 4433703.9
477581.5 4434085.6
